HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
Bournemouth,West Ham,3,3,D,1,1,D,2017-18
Chelsea,Brighton,2,0,H,0,0,D,2017-18
Huddersfield,Stoke,1,1,D,1,0,H,2017-18
Liverpool,Swansea,5,0,H,1,0,H,2017-18
Man United,Burnley,2,2,D,0,2,A,2017-18
Tottenham,Southampton,5,2,H,2,0,H,2017-18
Watford,Leicester,2,1,H,1,1,D,2017-18
West Brom,Everton,0,0,D,0,0,D,2017-18
Newcastle,Man City,0,1,A,0,1,A,2017-18
Crystal Palace,Arsenal,2,3,A,0,1,A,2017-18
Bournemouth,Everton,2,1,H,1,0,H,2017-18
Chelsea,Stoke,5,0,H,3,0,H,2017-18
Huddersfield,Burnley,0,0,D,0,0,D,2017-18
Liverpool,Leicester,2,1,H,0,1,A,2017-18
Man United,Southampton,0,0,D,0,0,D,2017-18
Newcastle,Brighton,0,0,D,0,0,D,2017-18
Watford,Swansea,1,2,A,1,0,H,2017-18
Crystal Palace,Man City,0,0,D,0,0,D,2017-18
West Brom,Arsenal,1,1,D,0,0,D,2017-18
Brighton,Bournemouth,2,2,D,1,1,D,2017-18
Burnley,Liverpool,1,2,A,0,0,D,2017-18
Everton,Man United,0,2,A,0,0,D,2017-18
Leicester,Huddersfield,3,0,H,0,0,D,2017-18
Stoke,Newcastle,0,1,A,0,0,D,2017-18
Man City,Watford,3,1,H,2,0,H,2017-18
Southampton,Crystal Palace,1,2,A,1,0,H,2017-18
Swansea,Tottenham,0,2,A,0,1,A,2017-18
West Ham,West Brom,2,1,H,0,1,A,2017-18
Arsenal,Chelsea,2,2,D,0,0,D,2017-18
Tottenham,West Ham,1,1,D,0,0,D,2017-18
Chelsea,Leicester,0,0,D,0,0,D,2017-18
Crystal Palace,Burnley,1,0,H,1,0,H,2017-18
Huddersfield,West Ham,1,4,A,1,1,D,2017-18
Newcastle,Swansea,1,1,D,0,0,D,2017-18
Tottenham,Everton,4,0,H,1,0,H,2017-18
Watford,Southampton,2,2,D,0,2,A,2017-18
West Brom,Brighton,2,0,H,1,0,H,2017-18
Bournemouth,Arsenal,2,1,H,0,0,D,2017-18
Liverpool,Man City,4,3,H,1,1,D,2017-18
Man United,Stoke,3,0,H,2,0,H,2017-18
Arsenal,Crystal Palace,4,1,H,4,0,H,2017-18
Brighton,Chelsea,0,4,A,0,2,A,2017-18
Burnley,Man United,0,1,A,0,0,D,2017-18
Everton,West Brom,1,1,D,0,1,A,2017-18
Leicester,Watford,2,0,H,1,0,H,2017-18
Man City,Newcastle,3,1,H,1,0,H,2017-18
Stoke,Huddersfield,2,0,H,0,0,D,2017-18
West Ham,Bournemouth,1,1,D,0,0,D,2017-18
Southampton,Tottenham,1,1,D,1,1,D,2017-18
Swansea,Liverpool,1,0,H,1,0,H,2017-18
Huddersfield,Liverpool,0,3,A,0,2,A,2017-18
Swansea,Arsenal,3,1,H,1,1,D,2017-18
West Ham,Crystal Palace,1,1,D,1,1,D,2017-18
Chelsea,Bournemouth,0,3,A,0,0,D,2017-18
Everton,Leicester,2,1,H,2,0,H,2017-18
Man City,West Brom,3,0,H,1,0,H,2017-18
Newcastle,Burnley,1,1,D,0,0,D,2017-18
Southampton,Brighton,1,1,D,0,1,A,2017-18
Stoke,Watford,0,0,D,0,0,D,2017-18
Tottenham,Man United,2,0,H,2,0,H,2017-18
Arsenal,Everton,5,1,H,4,0,H,2017-18
Bournemouth,Stoke,2,1,H,0,1,A,2017-18
Brighton,West Ham,3,1,H,1,1,D,2017-18
Burnley,Man City,1,1,D,0,1,A,2017-18
Leicester,Swansea,1,1,D,1,0,H,2017-18
Man United,Huddersfield,2,0,H,0,0,D,2017-18
West Brom,Southampton,2,3,A,1,2,A,2017-18
Crystal Palace,Newcastle,1,1,D,0,1,A,2017-18
Liverpool,Tottenham,2,2,D,1,0,H,2017-18
Watford,Chelsea,4,1,H,1,0,H,2017-18
Everton,Crystal Palace,3,1,H,0,0,D,2017-18
Man City,Leicester,5,1,H,1,1,D,2017-18
Stoke,Brighton,1,1,D,0,1,A,2017-18
Swansea,Burnley,1,0,H,0,0,D,2017-18
Tottenham,Arsenal,1,0,H,0,0,D,2017-18
West Ham,Watford,2,0,H,1,0,H,2017-18
Huddersfield,Bournemouth,4,1,H,2,1,H,2017-18
Newcastle,Man United,1,0,H,0,0,D,2017-18
Southampton,Liverpool,0,2,A,0,2,A,2017-18
Chelsea,West Brom,3,0,H,1,0,H,2017-18
Bournemouth,Newcastle,2,2,D,0,2,A,2017-18
Brighton,Swansea,4,1,H,1,0,H,2017-18
Burnley,Southampton,1,1,D,0,0,D,2017-18
Leicester,Stoke,1,1,D,0,1,A,2017-18
Liverpool,West Ham,4,1,H,1,0,H,2017-18
Watford,Everton,1,0,H,0,0,D,2017-18
West Brom,Huddersfield,1,2,A,0,0,D,2017-18
Crystal Palace,Tottenham,0,1,A,0,0,D,2017-18
Man United,Chelsea,2,1,H,1,1,D,2017-18
Arsenal,Man City,0,3,A,0,3,A,2017-18
Burnley,Everton,2,1,H,0,1,A,2017-18
Leicester,Bournemouth,1,1,D,0,1,A,2017-18
Liverpool,Newcastle,2,0,H,1,0,H,2017-18
Southampton,Stoke,0,0,D,0,0,D,2017-18
Swansea,West Ham,4,1,H,2,0,H,2017-18
Tottenham,Huddersfield,2,0,H,1,0,H,2017-18
Watford,West Brom,1,0,H,0,0,D,2017-18
Brighton,Arsenal,2,1,H,2,1,H,2017-18
Man City,Chelsea,1,0,H,0,0,D,2017-18
Crystal Palace,Man United,2,3,A,1,0,H,2017-18
Chelsea,Crystal Palace,2,1,H,2,0,H,2017-18
Everton,Brighton,2,0,H,0,0,D,2017-18
Huddersfield,Swansea,0,0,D,0,0,D,2017-18
Man United,Liverpool,2,1,H,2,0,H,2017-18
Newcastle,Southampton,3,0,H,2,0,H,2017-18
West Brom,Leicester,1,4,A,1,1,D,2017-18
West Ham,Burnley,0,3,A,0,0,D,2017-18
Arsenal,Watford,3,0,H,1,0,H,2017-18
Bournemouth,Tottenham,1,4,A,1,1,D,2017-18
Stoke,Man City,0,2,A,0,1,A,2017-18
Bournemouth,West Brom,2,1,H,0,0,D,2017-18
Huddersfield,Crystal Palace,0,2,A,0,1,A,2017-18
Liverpool,Watford,5,0,H,2,0,H,2017-18
Stoke,Everton,1,2,A,0,0,D,2017-18
Brighton,Leicester,0,2,A,0,0,D,2017-18
Crystal Palace,Liverpool,1,2,A,1,0,H,2017-18
Everton,Man City,1,3,A,0,3,A,2017-18
Man United,Swansea,2,0,H,2,0,H,2017-18
Newcastle,Huddersfield,1,0,H,0,0,D,2017-18
Watford,Bournemouth,2,2,D,1,1,D,2017-18
West Brom,Burnley,1,2,A,0,1,A,2017-18
West Ham,Southampton,3,0,H,3,0,H,2017-18
Arsenal,Stoke,3,0,H,0,0,D,2017-18
Chelsea,Tottenham,1,3,A,1,1,D,2017-18
Bournemouth,Crystal Palace,2,2,D,0,0,D,2017-18
Brighton,Huddersfield,1,1,D,1,1,D,2017-18
Everton,Liverpool,0,0,D,0,0,D,2017-18
Leicester,Newcastle,1,2,A,0,1,A,2017-18
Man City,Man United,2,3,A,2,0,H,2017-18
Stoke,Tottenham,1,2,A,0,0,D,2017-18
Watford,Burnley,1,2,A,0,0,D,2017-18
West Brom,Swansea,1,1,D,0,0,D,2017-18
Arsenal,Southampton,3,2,H,2,1,H,2017-18
Chelsea,West Ham,1,1,D,1,0,H,2017-18
Burnley,Leicester,2,1,H,2,0,H,2017-18
Crystal Palace,Brighton,3,2,H,3,2,H,2017-18
Huddersfield,Watford,1,0,H,0,0,D,2017-18
Liverpool,Bournemouth,3,0,H,1,0,H,2017-18
Southampton,Chelsea,2,3,A,1,0,H,2017-18
Swansea,Everton,1,1,D,0,1,A,2017-18
Tottenham,Man City,1,3,A,1,2,A,2017-18
Man United,West Brom,0,1,A,0,0,D,2017-18
Newcastle,Arsenal,2,1,H,1,1,D,2017-18
West Ham,Stoke,1,1,D,0,0,D,2017-18
Brighton,Tottenham,1,1,D,0,0,D,2017-18
Bournemouth,Man United,0,2,A,0,1,A,2017-18
Burnley,Chelsea,1,2,A,0,1,A,2017-18
Leicester,Southampton,0,0,D,0,0,D,2017-18
Watford,Crystal Palace,0,0,D,0,0,D,2017-18
West Brom,Liverpool,2,2,D,0,1,A,2017-18
Arsenal,West Ham,4,1,H,0,0,D,2017-18
Man City,Swansea,5,0,H,2,0,H,2017-18
Stoke,Burnley,1,1,D,1,0,H,2017-18
Everton,Newcastle,1,0,H,0,0,D,2017-18
Burnley,Brighton,0,0,D,0,0,D,2017-18
Crystal Palace,Leicester,5,0,H,2,0,H,2017-18
Huddersfield,Everton,0,2,A,0,1,A,2017-18
Liverpool,Stoke,0,0,D,0,0,D,2017-18
Newcastle,West Brom,0,1,A,0,1,A,2017-18
Southampton,Bournemouth,2,1,H,1,1,D,2017-18
Swansea,Chelsea,0,1,A,0,1,A,2017-18
Man United,Arsenal,2,1,H,1,0,H,2017-18
West Ham,Man City,1,4,A,1,2,A,2017-18
Tottenham,Watford,2,0,H,1,0,H,2017-18
Brighton,Man United,1,0,H,0,0,D,2017-18
Bournemouth,Swansea,1,0,H,1,0,H,2017-18
Everton,Southampton,1,1,D,0,0,D,2017-18
Leicester,West Ham,0,2,A,0,1,A,2017-18
Stoke,Crystal Palace,1,2,A,1,0,H,2017-18
Watford,Newcastle,2,1,H,2,0,H,2017-18
West Brom,Tottenham,1,0,H,0,0,D,2017-18
Arsenal,Burnley,5,0,H,2,0,H,2017-18
Chelsea,Liverpool,1,0,H,1,0,H,2017-18
Man City,Huddersfield,0,0,D,0,0,D,2017-18
Swansea,Southampton,0,1,A,0,0,D,2017-18
Chelsea,Huddersfield,1,1,D,0,0,D,2017-18
Leicester,Arsenal,3,1,H,1,0,H,2017-18
Man City,Brighton,3,1,H,2,1,H,2017-18
Tottenham,Newcastle,1,0,H,0,0,D,2017-18
West Ham,Man United,0,0,D,0,0,D,2017-18
Burnley,Bournemouth,1,2,A,1,0,H,2017-18
Crystal Palace,West Brom,2,0,H,0,0,D,2017-18
Huddersfield,Arsenal,0,1,A,0,1,A,2017-18
Liverpool,Brighton,4,0,H,2,0,H,2017-18
Man United,Watford,1,0,H,1,0,H,2017-18
Newcastle,Chelsea,3,0,H,1,0,H,2017-18
Southampton,Man City,0,1,A,0,0,D,2017-18
Swansea,Stoke,1,2,A,1,2,A,2017-18
Tottenham,Leicester,5,4,H,1,2,A,2017-18
West Ham,Everton,3,1,H,1,0,H,2017-18
